20120801| Q 2 | obs 20 from 18.260--27.580 | MD 0.491 
20120802| Q 2 | obs 32 from 12.269--27.581 | MD 0.494 
20120803| Q 3 | obs 26 from 15.301--27.582 | MD 0.491 
20120804| Q 4 | obs 23 from 16.784--27.583 | MD 0.491 
20120805| Q 4 | obs 21 from 12.261--27.582 | MD 0.766 
20120806| Q 4 | obs 32 from 12.260--27.582 | MD 0.494 
20120807| Q 4 | obs 19 from 12.261--21.083 | MD 0.490 
20120808| Q 4 | obs 16 from 19.832--27.091 | MD 0.484 
20120809| Q 3 | obs 32 from 12.262--27.580 | MD 0.494 
20120810| Q 3 | obs 32 from 12.262--27.582 | MD 0.494 
20120811| Q 2 | obs 32 from 12.261--27.581 | MD 0.494 
20120812| Q 4 | obs 32 from 12.262--27.582 | MD 0.494 
20120813| Q 4 | obs 30 from 12.261--27.583 | MD 0.528 
20120814| Q 4 | obs 32 from 12.260--27.583 | MD 0.494 
20120815| Q 1 | obs 32 from 12.262--27.581 | MD 0.494 
20120816| Q 5 | obs 32 from 12.262--27.580 | MD 0.494 
20120817| Q 2 | obs 21 from 12.260--27.579 | MD 0.766 
20120818| Q 3 | obs 32 from 12.261--27.581 | MD 0.494 
20120819| Q 2 | obs 32 from 12.261--27.583 | MD 0.494 
20120820| Q 3 | obs 30 from 13.260--27.580 | MD 0.494 
20120821| Q 3 | obs 32 from 12.261--27.580 | MD 0.494 
20120822| Q 3 | obs 32 from 12.261--27.582 | MD 0.494 
20120823| Q 5 | obs 22 from 17.250--27.583 | MD 0.492 
20120824| Q 5 | obs 22 from 17.417--27.579 | MD 0.484 
20120825| Q 5 | obs 17 from 19.750--27.580 | MD 0.489 
20120826| Q 3 | obs 27 from 13.316--27.582 | MD 0.549 
20120827| Q 4 | obs 32 from 12.260--27.582 | MD 0.494 
20120828| Q 3 | obs 32 from 12.259--27.583 | MD 0.494 
20120829| Q 4 | obs 32 from 12.262--27.583 | MD 0.494 
20120830| Q 3 | obs 20 from 17.770--27.582 | MD 0.516 
20120831| Q 4 | obs 32 from 12.262--27.580 | MD 0.494 
20120901| Q 5 | obs 32 from 12.258--27.582 | MD 0.494 
20120902| Q 5 | obs 32 from 12.260--27.582 | MD 0.494 
20120903| Q 3 | obs 32 from 12.262--27.580 | MD 0.494 
20120904| Q 2 | obs 32 from 12.260--27.584 | MD 0.494 
20120905| Q 2 | obs 32 from 12.259--27.579 | MD 0.494 
20120906| Q 3 | obs 32 from 12.261--27.582 | MD 0.494 
20120907| Q 2 | obs 32 from 12.260--27.583 | MD 0.494 
20120908| Q 3 | obs 32 from 12.261--27.580 | MD 0.494 
20120909| Q 2 | obs 29 from 12.259--27.049 | MD 0.528 
20120910| Q 3 | obs 32 from 12.262--27.581 | MD 0.494 
20120911| Q 3 | obs 17 from 17.259--25.250 | MD 0.499 
20120912| Q 5 | obs 22 from 17.255--27.580 | MD 0.492 
20120913| Q 2 | obs 20 from 18.411--27.582 | MD 0.483 
20120914| Q 2 | obs 32 from 12.261--27.580 | MD 0.494 
20120915| Q 3 | obs 32 from 12.259--27.582 | MD 0.494 
20120916| Q 5 | obs 32 from 12.262--27.581 | MD 0.494 
20120917| Q 4 | obs 24 from 13.257--27.589 | MD 0.623 
20120918| Q 3 | obs 31 from 12.260--27.582 | MD 0.511 
20120919| Q 4 | obs 31 from 12.261--27.580 | MD 0.511 
20120920| Q 3 | obs 32 from 12.262--27.579 | MD 0.494 
20120921| Q 5 | obs 32 from 12.260--27.581 | MD 0.494 
20120922| Q 5 | obs 32 from 12.259--27.582 | MD 0.494 
20120923| Q 3 | obs 32 from 12.262--27.582 | MD 0.494 
20120924| Q 4 | obs 32 from 12.259--27.576 | MD 0.494 
20120925| Q 4 | obs 30 from 12.261--27.581 | MD 0.528 
